latitude,longitude,country_name,continent
-40.900557,174.885971,New Zealand,Oceania
12.865416,-85.207229,Nicaragua,North America
17.607789,8.081666,Niger,Africa
9.081999,8.675277,Nigeria,Africa
-19.054445,-169.867233,Niue,Oceania
-29.040835,167.954712,Norfolk Island,Oceania
40.339852,127.510093,North Korea,Asia
15.0979,145.6739,Northern Mariana Islands,Oceania
60.472024,8.468946,Norway,Europe
21.4735329,55.975413,Oman,Asia
30.375321,69.345116,Pakistan,Asia
7.51498,134.58252,Palau,Oceania
31.952162,35.233154,Palestine,Asia
8.537981,-80.782127,Panama,North America
-6.314993,143.95555,Papua New Guinea,Oceania
-23.442503,-58.443832,Paraguay,South America
-9.189967,-75.015152,Peru,South America
12.879721,121.774017,Philippines,Asia
-24.3767537,-128.3242376,Pitcairn Islands,Oceania
51.919438,19.145136,Poland,Europe
39.399872,-8.224454,Portugal,Europe
18.220833,-66.590149,Puerto Rico,North America
25.354826,51.183884,Qatar,Asia
45.943161,24.96676,Romania,Europe
61.52401,105.318756,Russia,Europe
-1.940278,29.873888,Rwanda,Africa
-21.115141,55.536384,Reunion,Africa
-13.759029,-172.104629,Samoa,Oceania
43.94236,12.457777,San Marino,Europe
23.885942,45.079162,Saudi Arabia,Asia
14.497401,-14.452362,Senegal,Africa
44.016521,21.005859,Serbia,Europe
-4.679574,55.491977,Seychelles,Africa
8.460555,-11.779889,Sierra Leone,Africa
1.352083,103.819836,Singapore,Asia
18.04248,-63.05483,Sint Maarten,North America
48.669026,19.699024,Slovakia,Europe
46.151241,14.995463,Slovenia,Europe
-9.64571,160.156194,Solomon Islands,Oceania
5.152149,46.199616,Somalia,Africa
-30.559482,22.937506,South Africa,Africa
-54.429579,-36.587909,South Georgia & South Sandwich Islands,Antarctica
35.907757,127.766922,South Korea,Asia
6.8769919,31.3069788,South Sudan,Africa
40.463667,-3.74922,Spain,Europe
7.873054,80.771797,Sri Lanka,Asia
17.9,-62.833333,St. Barthelemy,North America
-15.9650104,-5.7089241,St. Helena,Africa
17.357822,-62.782998,St. Kitts & Nevis,North America
13.909444,-60.978893,St. Lucia,North America
18.0708298,-63.0500809,St. Martin,North America
46.8852,-56.3159,St. Pierre & Miquelon,North America
12.984305,-61.287228,St. Vincent & Grenadines,North America
12.862807,30.217636,Sudan,Africa
3.919305,-56.027783,Suriname,South America
77.553604,23.6702719,Svalbard & Jan Mayen,Europe
-26.522503,31.465866,Swaziland,Africa
60.128161,18.643501,Sweden,Europe
46.818188,8.227512,Switzerland,Europe
34.802075,38.996815,Syria,Asia
0.18636,6.613081,Sao Tome & Principe,Africa
23.69781,120.960515,Taiwan,Asia
38.861034,71.276093,Tajikistan,Asia
-6.369028,34.888822,Tanzania,Africa
15.870032,100.992541,Thailand,Asia
-8.874217,125.727539,Timor-Leste,Asia
8.619543,0.824782,Togo,Africa
-9.2002,-171.8484,Tokelau,Oceania
-21.178986,-175.198242,Tonga,Oceania
10.691803,-61.222503,Trinidad & Tobago,North America
33.886917,9.537499,Tunisia,Africa
38.963745,35.243322,Turkey,Asia
38.969719,59.556278,Turkmenistan,Asia
21.694025,-71.797928,Turks & Caicos Islands,North America
-7.109535,177.64933,Tuvalu,Oceania
19.2823192,166.647047,U.S. Outlying Islands,Oceania
18.335765,-64.896335,U.S. Virgin Islands,North America
55.378051,-3.435973,UK,Europe
40.7605367,-73.9788903,US,North America
1.373333,32.290275,Uganda,Africa
48.379433,31.1655799,Ukraine,Europe
23.424076,53.847818,United Arab Emirates,Asia
-32.522779,-55.765835,Uruguay,South America
41.377491,64.585262,Uzbekistan,Asia
-15.376706,166.959158,Vanuatu,Oceania
41.902916,12.453389,Vatican City,Europe
6.42375,-66.58973,Venezuela,South America
14.058324,108.277199,Vietnam,Asia
-14.2938,-178.1165,Wallis & Futuna,Oceania
24.215527,-12.885834,Western Sahara,Africa
15.552727,48.516388,Yemen,Asia
-13.133897,27.849332,Zambia,Africa
-19.015438,29.154857,Zimbabwe,Africa
60.1785247,19.9156105,Aland Islands,Europe
